Date,Henry,Algonquin Citygates,Chicago Citygates,TETCO-M3
2017-10-17,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-10-18,2.81,5.103085855883459,2.8924403274810606,2.54668104974319
2017-10-19,2.83,5.1608908584760735,2.912922556783588,2.5767032585685743
2017-10-20,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-10-21,2.85,5.218695861068688,2.933404786086115,2.6067254673939586
2017-10-22,2.9,5.3632083675502225,2.984610359342433,2.6817809894574203
2017-10-23,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-10-24,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-10-25,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-10-26,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-10-27,2.78,5.016378351994537,2.8617169835272698,2.5016477365051126
2017-10-28,2.833333333333333,5.1705250255748405,2.9163362616673423,2.581706960039471
2017-10-29,2.8866666666666667,5.3246716991551475,2.9709555398074152,2.6617661835738304
2017-10-30,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-10-31,2.84,5.18979335977238,2.9231636714348515,2.5917143629812665
2017-11-01,2.68,4.727353339031466,2.759305837014634,2.35153669237819
2017-11-02,2.68,4.727353339031466,2.759305837014634,2.35153669237819
2017-11-03,2.75,4.929670848105616,2.830993639573479,2.456614423267036
2017-11-04,2.8366666666666664,5.180159192673611,2.919749966551097,2.5867106615103688
2017-11-05,2.9233333333333333,5.430647537241607,3.008506293528715,2.7168068997537023
2017-11-06,3.01,5.681135881809602,3.0972626205063327,2.846903137997035
2017-11-07,3.07,5.854550889587444,3.1587093084139144,2.9369697644731887
2017-11-08,3.16,6.114673401254211,3.250879340275287,3.07206970418742
2017-11-09,3.18,6.172478403846825,3.2713615695778144,3.102091913012805
2017-11-10,3.17,6.143575902550517,3.2611204549265502,3.087080808600112
2017-11-11,3.1566666666666667,6.1050392341554405,3.2474656353915323,3.067066002716522
2017-11-12,3.143333333333333,6.066502565760364,3.233810815856514,3.0470511968329324
2017-11-13,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-11-14,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-11-15,3.16,6.114673401254211,3.250879340275287,3.07206970418742
2017-11-16,3.09,5.9123558921800585,3.1791915377164415,2.966991973298574
2017-11-17,3.04,5.767843385698524,3.1279859644601236,2.8919364512351122
2017-11-18,3.04,5.767843385698524,3.1279859644601236,2.8919364512351122
2017-11-19,3.04,5.767843385698524,3.1279859644601236,2.8919364512351122
2017-11-20,3.04,5.767843385698524,3.1279859644601236,2.8919364512351122
2017-11-21,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-11-22,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-11-23,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-11-24,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-11-25,2.993333333333333,5.632965046315756,3.08019409608756,2.8218846306425482
2017-11-26,2.9366666666666665,5.469184205636682,3.0221611130637327,2.736821705637292
2017-11-27,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-11-28,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-11-29,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-11-30,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-12-01,2.84,5.18979335977238,2.9231636714348515,2.5917143629812665
2017-12-02,2.8633333333333333,5.257232529463763,2.947059605621133,2.6267402732775484
2017-12-03,2.8866666666666667,5.3246716991551475,2.9709555398074152,2.6617661835738304
2017-12-04,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-12-05,2.86,5.247598362364994,2.9436459007373785,2.6217365718066508
2017-12-06,2.86,5.247598362364994,2.9436459007373785,2.6217365718066508
2017-12-07,2.81,5.103085855883459,2.8924403274810606,2.54668104974319
2017-12-08,2.78,5.016378351994537,2.8617169835272698,2.5016477365051126
2017-12-09,2.79,5.045280853290845,2.8719580981785335,2.516658840917805
2017-12-10,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-12-11,2.81,5.103085855883459,2.8924403274810606,2.54668104974319
2017-12-12,2.87,5.276500863661302,2.9538870153886423,2.636747676219344
2017-12-13,2.87,5.276500863661302,2.9538870153886423,2.636747676219344
2017-12-14,2.69,4.756255840327772,2.7695469516658973,2.3665477967908823
2017-12-15,2.6,4.496133328661008,2.677376919804525,2.2314478570766516
2017-12-16,2.6366666666666667,4.602109166747468,2.7149276735258248,2.2864885732565234
2017-12-17,2.6733333333333333,4.708085004833928,2.7524784272471248,2.341529289436395
2017-12-18,2.71,4.814060842920386,2.7900291809684243,2.3965700056162667
2017-12-19,2.75,4.929670848105616,2.830993639573479,2.456614423267036
2017-12-20,2.72,4.842963344216694,2.8002702956196885,2.411581110028959
2017-12-21,2.64,4.6117433338462375,2.7183413784095793,2.2914922747274207
2017-12-22,2.63,4.5828408325499295,2.7081002637583156,2.276481170314728
2017-12-23,2.6425,4.618968959170314,2.720901657072395,2.295245050830594
2017-12-24,2.6550000000000002,4.655097085790699,2.7337030503864748,2.3140089313464594
2017-12-25,2.6675,4.691225212411082,2.7465044437005544,2.3327728118623248
2017-12-26,2.68,4.727353339031466,2.759305837014634,2.35153669237819
2017-12-27,2.76,4.958573349401922,2.8412347542247423,2.4716255276797274
2017-12-28,2.97,5.565525876624373,3.0562981619012786,2.7868587203462662
2017-12-29,3.69,7.646505969958489,3.7936584167922582,3.867658238060111
2017-12-30,3.69,7.646505969958489,3.7936584167922582,3.867658238060111
2017-12-31,3.69,7.646505969958489,3.7936584167922582,3.867658238060111
